ID;ITEMCODE;ITEMNAME;UNITPRICE;CATEGORY1;CATEGORY2;CATEGORY3;CATEGORY4;BRAND
1;5;PIL KODAK XTRA HEAVY 9 V;5,15;EV;ELEKTRIK-ELEKTRONIK;PIL;PIL;KODAK
2;6;PIL KODAK AA*2 MAX ALKALIN KALEM;8,26;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
4;11;VAKKUMLU TASIYICI TIR;20,83;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
7;17;OFICA SERIT DAKSIL;1,01;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
8;18;OFFICA MAKET BICAGI UCU;1,68;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
9;19;OFICA FH4550 HESAP MAKINASI ;31,13;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
10;21;PRT.UDAG WA0030 SAKLAMA KABI ;15,55;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;SAKLAMA KABI;UDAG
11;22;PRT.UDAG WA0046 TUVALET KAGITLIGI  ;19,83;TEMIZLIK;EV GERECLERI;EV PLASTIK GERECLERI;PLASTIK;UDAG
12;23;MARUL KIVIRCIK;6,25;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
13;29;CARPEX TYPES KLIMA KOKU SUMMER BREEZE ;7,53;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
14;30;PIL KODAK XTRA HEAVY KALEM 2'LI;4,75;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
15;35;OYUNCAK KUTUDA RENKLI SACLI BEBEK;40,03;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
17;37;CITCIT DOSYA;1,33;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
18;40;SOGAN KISKA PK.;0,73;SEBZE;MANAV;MANAV;SEBZELER;SOGAN
19;42;DOMATES KOKTEYL SEKER PAKET ;1,44;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
20;43;GOLBASI MAROL;0;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
21;44;GOLBASI MAROL KIVIRCIK;1,66;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
22;47;TURP JAPON;2,18;YESILLIK;MANAV;MANAV;YESILLIKLER;TURP
23;49;ARMUT DEVECI;9,9;MEYVE;MANAV;MANAV;MEYVELER;ARMUT
24;54;DOMATES ARI SALKIM;6,54;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
25;55;PATATES;1,02;SEBZE;MANAV;MANAV;SEBZELER;PATATES
26;56;TURP;1,5;YESILLIK;MANAV;MANAV;YESILLIKLER;TURP
27;59;ELMA MISKET;7,87;MEYVE;MANAV;MANAV;MEYVELER;ELMA
28;60;ELMA STAR;1,2;MEYVE;MANAV;MANAV;MEYVELER;ELMA
29;65;BANVIT TABAKLI BAGET KG.;16,06;KUMES;PILIC;KUMES HAYVANLARI;PARCA BAGET;BANVIT
30;66;BANVIT TABAKLI SPECIAL KANAT KG.;25,74;KUMES;PILIC;KUMES HAYVANLARI;PARCA KANAT;BANVIT
31;67;MUDURNU TABAKLI BUT;6,42;KUMES;PILIC;KUMES HAYVANLARI;PARCA BUT;MUDURNU
32;68;MUDURNU TABAKLI DRS.YARIM FILETO;10,12;KUMES;PILIC;KUMES HAYVANLARI;PARCA FILETO;MUDURNU
33;69;MUDURNU TABAKLI OZEL KANAT;15,87;KUMES;PILIC;KUMES HAYVANLARI;PARCA KANAT;MUDURNU
34;71;BANVIT HINDI BUTUN;17,72;KUMES;PILIC;KUMES HAYVANLARI;BUTUN PILICLER;BANVIT
35;74;NAMET DANA BATON SUCUK;58,12;ET;ISLENMIS ET;SUCUK;DANA SUCUK;NAMET
36;75;DOKME KUS UZUMU 12,5 KG. ;78;GIDA;TUZ-BAHARAT;BAHARAT;KUS UZUMU;NERGIS
37;76;DOKME PUL BIBER 10 KG. ;33;GIDA;TUZ-BAHARAT;BAHARAT;PUL BIBER;NERGIS
38;80;MONAMI DUST FREE SILGI BUYUK;1,8;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
39;81;PIL KODAK AA*4 XTRALIFE ALKALIN KALEM;14,25;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
40;87;KUT. KIRMIZI ISIKLI VE SESLI STAR;23,1;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
41;88;LETS SULU BOYA 12LI;0,88;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
42;89;OYUNCAK TANK PILLI   ;76,87;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
43;90;PRT.UDAG WA0028 UCLU LALE ;11,9;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;;UDAG
44;91;PRT UDAG WA0037 CEREZLIK ;10,68;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;PLASTIK CEREZLIK VE KASELER;UDAG
45;93;KOZA 217 KISA TUNIK M;6,73;EV;TEKSTIL-GIYIM-AKSESUAR;CAMASIRLAR;BAYAN CAMASIR;KOZA
46;94;OYUNCAK GITAR PILLI  ;27,48;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
47;101;FANTASIA 36 RENK KURUBOYA TAM BOY METAL KUTU;8,8;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
48;104;CARPEC TYPES KLIMA KOKU APPLE ;9,68;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
49;106;PIL KODAK POWER BANK 5200 MAH;59,88;EV;ELEKTRIK-ELEKTRONIK;PIL;POWER BANK;KODAK
50;107;PIL KODAK XTRA HEAVY AAA*4 INCE;6,88;EV;ELEKTRIK-ELEKTRONIK;PIL;INCE PILLER;KODAK
51;113;ISIKLI SILAH;14,29;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
52;114;OYUNCAK KUT. KALPLI 2 AS. AKS. MANKEN;34,1;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
53;115;GOLBASI MAROL GOBEK;1,23;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
54;118;BIBER SIVRI  KIL ;6,24;SEBZE;MANAV;MANAV;SEBZELER;BIBER
55;120;TURP SIYAH;2,19;YESILLIK;MANAV;MANAV;YESILLIKLER;TURP
56;122;PORTAKAL WASINGTON;4,92;MEYVE;MANAV;MANAV;MEYVELER;PORTAKAL
57;123;ELMA ARAPKIZI;5,94;MEYVE;MANAV;MANAV;MEYVELER;ELMA
58;128;NT TEK ADIMDA MAK.TEM.JELI;20,56;KOZMETIK;KISISEL BAKIM;CILT BAKIM;TEMIZLEME JEL-KREM-PEELING;NEUTROGENA
59;135;OYUNCAK  PILLI ISIKLI AIRBUS UCAK;35,79;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
60;136;SUNUM DOSYASI 40 LI;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
61;137;MASA TIPI HESAP MAKINASI;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
62;138;LETS CELIK MATARA  230 ML.;5,28;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
63;139;KOZA 123 BAYAN BADI M;4,97;EV;TEKSTIL-GIYIM-AKSESUAR;CAMASIRLAR;BAYAN CAMASIR;KOZA
64;166;MUDURNU TABAKLI DERISIZ FILETO;13,6;KUMES;PILIC;KUMES HAYVANLARI;PARCA FILETO;MUDURNU
65;173;KARLIDAG KIRIK PEYNIR 1 KG;9,58;KAHVALTILIK;SUT-YOGURT-PEYNIR;PEYNIRLER;OZEL PEYNIRLER;KARLIDAG
66;174;KARLIDAG PEYNIR CUBUK KG;52,68;KAHVALTILIK;SUT-YOGURT-PEYNIR;PEYNIRLER;CUBUK PEYNIRLERI;KARLIDAG
67;176;NEUT.DEEP CLEAN TEM.JELI 200 ML POMI;17,74;KOZMETIK;KISISEL BAKIM;CILT BAKIM;TEMIZLEME JEL-KREM-PEELING;NEUTROGENA
68;178;MONAMI DUST FREE SILGI KUCUK;1,2;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
69;179;PIL KODAK AA*4 MAX ALKALIN KALEM;13,71;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
70;184;MODELL OGRENCI CANTASI;54;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
71;186;OYUNCAK KARTELADA ROBOT SETI;20,76;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
72;187;OYUNCAK KUT.KALPLIAKS.MAN.BEBEK;51,48;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
73;188;OFICA CIFT TARAFLI BANT 38MMX25 ;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
74;191;MAROL LOLOROSO;0,95;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
75;193;DOMATES CARI;12;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
76;200;CARPEX CIFT KOK.KLIMA KAR.MEYVE/VAN;8,97;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
77;205;CARPEX TYPES KLIMA KOKU WILD CHERRY ;10,31;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
78;206;NEUT.AYAK BAKIM KREMI 50 ML;11,88;KOZMETIK;VUCUT-EL BAKIM;KREMLER;AYAK BAKIM;NEUTROGENA
79;207;PIL KODAK XTRA HEAVY KALEM 4'LU;5,1;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
80;208;PIL KODAK AA 6+2 MAX ALKALIN KALEM;29,1;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
81;212;OYUNCAK KUT. 2 LI FROZEN BEBEK ;33,56;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
82;213;CEMRE ORTA ATLAS;5,4;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
83;215;OYUNCAK YUMURTALI PONY;8,1;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
84;216;YEDEKLI METAL KALEMTRAS;1,49;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
85;218;TURP DESTE;0,95;YESILLIK;MANAV;MANAV;YESILLIKLER;TURP
86;221;RAKET SET ;13,74;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
87;222;DOMATES TURSULUK;1,89;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
88;223;BIBER SIVRI SARI TURSULUK;5,86;SEBZE;MANAV;MANAV;SEBZELER;BIBER
89;226;CARPEX TYPES KLIMA KOKU VANILYA ;10,26;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
90;230;DERS PROG.ETIKET;0,64;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
91;232;OYUNCAK PILLI SESLI UCAK ;37,83;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
92;233;LET S EGLENCE DIYARI 14 PARCA;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
93;238;KUMKUAT PAKET  ;1,44;MEYVE;MANAV;MANAV;MEYVELER;PORTAKAL
94;239;PATATES TAZE;0,69;SEBZE;MANAV;MANAV;SEBZELER;PATATES
95;240;SOGAN KURU;2,88;SEBZE;MANAV;MANAV;SEBZELER;SOGAN
96;241;SOGAN YESIL;11,11;YESILLIK;MANAV;MANAV;YESILLIKLER;SOGAN
97;242;SOGAN ADAPAZARI;5,22;SEBZE;MANAV;MANAV;SEBZELER;SOGAN
98;245;ELMA ITHAL;4,93;MEYVE;MANAV;MANAV;MEYVELER;ELMA
99;246;UZUM KUREYS;9,54;MEYVE;MANAV;MANAV;MEYVELER;UZUM
100;251;COLGATE.DIS IPI  50 M*6*;29,94;KOZMETIK;AGIZ BAKIM;DIS FIRCALARI-IPLER;DIS IPLERI;COLGATE
101;253;NEUT.DEEP CLEAN TONIK 200 ML;17,34;KOZMETIK;KISISEL BAKIM;CILT BAKIM;TEMIZLEME TONIKLERI;NEUTROGENA
102;255;PIL KODAK AAA*4 MAX ALKALIN INCE;15,9;EV;ELEKTRIK-ELEKTRONIK;PIL;INCE PILLER;KODAK
103;256;PIL KODAK AA*4 ULTRA ALKALIN KALEM;20,39;EV;ELEKTRIK-ELEKTRONIK;PIL;KALEM PILLER;KODAK
104;263;BOS CD 10 LU;1,19;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
105;264;OFICA CIFT TARAFLI BANT 25MMX25 ;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
106;265;LETS SULUBOYA 8 RENK ;0,93;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
107;266;KOZA 999 BAYAN BADI M;5,96;EV;TEKSTIL-GIYIM-AKSESUAR;CAMASIRLAR;BAYAN CAMASIR;KOZA
108;269;GOLBASI PATATES PAK.;1,44;SEBZE;MANAV;MANAV;SEBZELER;PATATES
109;270;SALATALIK ;1,44;SEBZE;MANAV;MANAV;SEBZELER;SALATALIK
110;273;ARMUT KIS ;1,18;MEYVE;MANAV;MANAV;MEYVELER;ARMUT
111;274;CARPEX CIFT KOK. KLIMA Y.ARABA S. ESIN.;7,85;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
112;278;NEUT.EL KREMI PARFUMLU 56 ML;11,88;KOZMETIK;VUCUT-EL BAKIM;KREMLER;VUCUT-EL KREMLERI;NEUTROGENA
113;279;NEUT.ACNE SABUN 100 GR;6,73;KOZMETIK;KISISEL BAKIM;CILT BAKIM;GUZELLIK SABUNLARI;NEUTROGENA
114;288;MELISA KONTROL MLS-689 KALEMI ;2,63;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
115;289;OFICA TEL ZIMBA MAKINASI;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
116;290;OFICA TUKENMEZ KALEM FTU-11 ;13,07;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
117;295;PATLICAN DOLMA;3,6;SEBZE;MANAV;MANAV;SEBZELER;PATLICAN
118;298;CARPEX CIFT KOKULU KLIMA YAZ/ALP ESINTISI;9,9;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
119;303;PIL KODAK AAA*2 MAX ALKALIN INCE;7,36;EV;ELEKTRIK-ELEKTRONIK;PIL;INCE PILLER;KODAK
120;307;KORUKLU OTOBUS;1,16;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
121;308;OYUNCAK PILLI ISIKLI ASKERI HELIKOPTER ;49,32;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
122;309;LETS BLUE STICK 40GR YAPIS. ;18,89;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
123;310;FONKSIYONLU HESAP MAKINASI;1,44;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
124;311;OFICA GORUNMEZ BANT 33MT ;4,8;EV;KITAP-DERGI-KIRTASIYE;KIRTASIYE;KIRTASIYE GERECLERI;KIRTASIYELER
125;315;MAROL MERSIN;1,44;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
126;317;ELB.MARUL GOBEK;0,4;YESILLIK;MANAV;MANAV;YESILLIKLER;MAROL
127;319;DOMATES TARSUS;5,1;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
128;320;DOMATES YERLI;0,94;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
129;321;ZEBRA KOKTEYL DOMATES;1,44;SEBZE;MANAV;MANAV;SEBZELER;DOMATES
130;324;NEUT.EL KREMI PARFUMSUZ 56 ML;8,69;KOZMETIK;VUCUT-EL BAKIM;KREMLER;VUCUT-EL KREMLERI;NEUTROGENA
131;325;CARPEX TYPES KLIMA KOKU TROPIKAL ;9,01;TEMIZLIK;KOKULAR;ODA KOKULARI;KLIMA KOKULAR;CARPEX
132;327;PIL KODAK AAA 6+2 MAX ALKALIN INCE;29,1;EV;ELEKTRIK-ELEKTRONIK;PIL;INCE PILLER;KODAK
133;330;OYUNCAK TREN LEGO - 44 PRC  ;29,4;OYUNCAK;ZEKA GELISTIRICI;OYUNCAKLAR;BEBE OYUNCAK;OYUNCAK
134;331;PRT.UDAG WA0049 KUPA ;4,68;EV;MUTFAK GERECLERI;MUTFAK ESYA-GERECLERI;DIGER KUPA;UDAG
